"able_property_management","ABLE PROPERTY MANAGEMENT  Lic.#00982861"
"ahoy_travel_co","AHOY TRAVEL CO"
"all_about_travel","All About Travel   1037 Burlando Rd, Krnvl"
"all_valley_sat_half_pg","ALL VALLEY SATELLITES"
"amerigas","AMERIGAS"
"appliance_center","APPLIANCE CENTER, THE"
"archies_hardware","ARCHIE''S HARDWARE"
"barnes_appliance_sales","BARNES'' BARGAINS APPLIANCES"
"barnes_discount_groceries","BARNES'' BARGAINS GROCERIES"
"barnes_furniture","BARNES'' BARGAINS FURNITURE"
"barnes_solar","BARNES'' BARGAINS SOLAR"
"bd_towing_h","B&D TOWING"
"bethany_company","Bethany & Company"
"betty_bs_justin_tyme","BETTY B''S JUSTIN TYME"
"borsari","BORSARI, THOMAS J - Attorney"
"bryans_pumping","BRYAN''S PUMPING"
"ccvmg_pg_h","Comprehensive Cardiovascular - Medical Group"
"century","CENTURY 21 LAKE ISABELLA REALTY, INC."
"cerro_coso","CERRO COSO COMMUNITY COLLEGE"
"chef_sarape","CHEF SARAPE RESTAURANT"
"clinica_sierra_vista_full_pg","CLINICA SIERRA VISTA"
"clip_chip","CLIP CHIP HAIR DESIGN"
"clm_giant_sequoia_mercantile","GIANT SEQUOIA MERCANTILE - CLM"
"coachs_driving_school","COACH''S DRIVING SCHOOL  Lic.# E3058"
"cr_pest_control","C&R PEST CONTROL, INC   Lic.# FR23723"
"cyclesmiths","CYCLESMITHS, THE"
"darlenes_pet_salon","DARLENE''S PET SALON, ETC."
"delta_liquid_energy","DELTA LIQUID ENERGY"
"diana_wade","DIANA WADE"
"downtown_storage","DOWNTOWN STORAGE & RV"
"dr_elisa_nevius","NEVIUS, ELISA J, DR   Lic.# PSY19096"
"drugstore","DRUGSTORE, THE"
"ewings_banner","Ewings, Restaurant On The Kern"
"feed_barn","FEED BARN, THE"
"freemans_lakeside_realty","FREEMAN''S LAKESIDE REALTY"
"furniture_store","FURNITURE STORE, THE"
"general_plumbing","GENERAL PLUMBING  Lic.# 896692"
"golden_empire","GOLDEN EMPIRE TOWING"
"gro_tech_landscaping","GRO-TECH LANDSCAPING  Lic.# 775052"
"half_price_plumbing","Half Price Plumbing  Lic.# 958534"
"harry_thal_insurance_v","HARRY P. THAL INSURANCE   Lic.# 0621106"
"high_sierra_crane","HIGH SIERRA CRANE"
"hr_block","H&R BLOCK"
"hyatt_consulting_group","Hyatt Consulting Group"
"income_property_management","INCOME PROPERTY MANAGEMENT"
"isabella_flooring_half_pg","ISABELLA FLOORING   Lic.# 793968"
"isabella_market","ISABELLA SUPERMARKET"
"isabella_motors","Isabella Motors"
"james_duke_bookkeeping","JAMES DUKE, BOOKEEPER"
"jennys_window_fashions","JENNY''S WINDOW FASHIONS   Lic.# 919196"
"jerry_sietsma_roofing","JERRY SIETSMA ROOFING   Lic.# 756453"
"jost_painting","JOST PAINTING   Lic.# 801648"
"jsliders","J. Sliders"
"kellee_scott_farmers","KELLEE SCOTT - FARMERS INSURANCE"
"ken_lackey_carpet_cleaning","KEN LACKEY''S CARPET CLEANING"
"kern_automotive","Kernville Automotive"
"kern_river_automotive","KERN RIVER AUTOMOTIVE"
"kern_river_feed_hay","KERN RIVER FEED & HAY"
"kern_river_radio","Kern River Radio"
"kern_valley_asphalt","Kern Valley Asphalt Service"
"kern_valley_home_improvement","KERN VALLEY HOME IMPROVEMENTS"
"kern_valley_plumbing","KERN VALLEY PLUMBING   Lic.# 300448"
"kern_valley_sun","Kern Valley Sun"
"kern_village_burlington","KERN VILLAGE   Lic.# 157200475"
"kernville_mini_storage","KERNVILLE MINI STORAGE"
"kvhd_assisted_living","Skilled Nursing Center"
"kvhd_full_pg","Kern Valley Hospital District   6400 Lynch Canyon Rd, Mt Mesa"
"kvhd_hospital","KERN VALLEY HOSPITAL"
"kvhd_rural_health_clinic","Rural Health Clinic"
"kyt_family_services","KYT AND FAMILY SERVICES   Lic.# 610710"
"lake_isabella_precision_tax","LAKE ISABELLA PRECISION TAX"
"lamberts_plumbing","LAMBERT''S PLUMBING SERVICE   Lic.# 508909"
"lm","L&M LUMBER INC"
"mountain_masonry","MOUNTAIN MASONRY  Lic.# 862216"
"nuui_cunni","NUUI CUNNI - Native American Cultural Center"
"onstott_construction","ONSTOTT CONSTRUCTION   Lic.#638567"
"optimal_hospice","OPTIMAL HOSPICE CARE"
"oxley_pest_control_v","OXLEY PEST CONTROL, INC   Lic.# PR3853"
"pacific_ortho_v","PACIFIC ORTHOPEDIC MEDICAL GROUP"
"pacificaire","PACIFIC-AIRE - A/C & Heating   Lic.# 422818"
"parks_insurance_farmers","Farmers Insurance"
"pat_turnham_realty","PAT TURNHAM REALTY   DRE.# 01911769"
"petal_pusher_plus","PETAL PUSHER+"
"ponderosa","Ponderosa Lodge"
"porcaro_joseph_dds","PORCARO, JOSEPH DDS"
"rays_painting_decorating","RAY''S PAINTING & DECORATING.........."
"reds_marina","Red''s Kern Valley Marina"
"rj_smith_construction","RJ SMITH CONSTRUCTION   Lic.# 333664"
"robert_carpet_cleaning","Robert''s Carpet Repair Cleaning"
"robert_cone_plumbing","ROBERT CONE PLUMBING   Lic.# 849062"
"salem_dog_grooming","Salem Dog Grooming"
"sharon_rooney_farmers","ROONEY, SHARON - FARMERS INSURANCE"
"sienna_wellness_h","SIENNA WELLNESS INSTITUTE"
"sierra_gateway_full_pg","SIERRA GATEWAY MARKET"
"sierra_mountain","SIERRA GATEWAY SPORTING GOODS"
"six_shooters_bbq","Six Shooters Barbeque"
"smog_shop","SMOG SHOP, THE"
"sonrise","SON-RISE ESPRESSO"
"south_fork_transmission","SOUTH FORK TRANSMISSION"
"southern_sierra_properties","SOUTHERN SIERRA PROPERTIES"
"stewarts_tire","STEWART''S TIRES"
"systems_plus_construction","SYSTEMS PLUS CONSTRUCTION   Lic.# 296922"
"szepfalvi_son_painting","Szepfalvi, Mike   Sqrrl Mtn Vly"
"thomas_refuse_garbage_collection","THOMAS REFUSE SERVICE GARBAGE"
"thomas_refuse_recycling","THOMAS REFUSE SERVICE RECYCLING"
"thomas_refuse_septic_pumping","THOMAS REFUSE SERVICE SEPTIC"
"thomas_refuse_toilets_portable","THOMAS REFUSE SERVICE PORTABLE"
"tims_auto_glass","TIM''S AUTO GLASS MOBILE SERVICE"
"tlc_full_pg","TLC, THE LIGHTHART CORPORATION"
"town_country_roofing","TOWN & COUNTRY ROOFING   Lic.# 899952"
"transcend_automotive","TRANSCEND AUTOMOTIVE"
"tuckers","TUCKER''S BRAKE & ALIGNMENT SERVICE"
"valley_fitness_pg_h","VALLEY FITNESS"
"walter_mortensen_insurica","WALTER MORTENSEN INSURANCE/INSURICA"
"western_auto","Western Auto Parts"
"wimmers_floor_covering","WIMMER''S FLOOR COVERING"
