"H&R BLOCK","accounting services"
"JAMES DUKE, BOOKEEPER","accounting services"
"PACIFIC-AIRE - A/C & Heating   Lic.# 422818","Air Conditioning systems"
"TLC, THE LIGHTHART CORPORATION","Air Conditioning systems"
"All About Travel   1037 Burlando Rd, Krnvl","Airlines"
"Kern Valley Airport   10649 Sierra Wy, Krnvl","AIRPORT"
"KERN RIVER AUTOMOTIVE","ALIGNMENT & BRAKE REPAIR"
"TUCKER’S BRAKE & ALIGNMENT SERVICE","ALIGNMENT & BRAKE REPAIR"
"My Sewing Room   12232 Mt Mesa Rd, Mt Mesa","ALTERATIONS"
"Lake Isabella Animal Shelter   14891 Hwy 178, Wldn","ANIMAL SHELTERS & SERVICES"
"APPLIANCE CENTER, THE","APPLIANCE PARTS, SERVICE, & REPAIR"
"APPLIANCE CENTER, THE","APPLIANCE - SALE"
"BARNES’ BARGAINS APPLIANCES","APPLIANCE - SALE"
"KERN VALLEY HOSPITAL","Assisted Living"
"KERN VILLAGE   Lic.# 157200475","Assisted Living"
"J Thomas Borsari, Attorney At Law","ATTORNEYS"
"DIANA WADE","ATTORNEYS"
"REICHENBACH’S AUTO BODY & PAINT","AUTOMOTIVE - BODY & PAINT"
"REICHENBACH’S AUTO BODY & PAINT","AUTOMOTIVE - COLLISION"
"Isabella Motors","AUTOMOTIVE - Dealership NEW/USED"
"TIM’S AUTO GLASS MOBILE SERVICE","AUTOMOTIVE - GLASS"
"Carquest/ Western Auto Parts","AUTOMOTIVE PARTS & SUPPLIES"
"KERN RIVER AUTOMOTIVE","AUTOMOTIVE REPAIR & SERVICE"
"SOUTH FORK TRANSMISSION","AUTOMOTIVE REPAIR & SERVICE"
"TRANSCEND AUTOMOTIVE","AUTOMOTIVE REPAIR & SERVICE"
"Sierra Mountain Towing","REICHENBACH’S AUTO BODY & PAINT"
"STEWART’S TIRES","REICHENBACH’S AUTO BODY & PAINT"
"Lodge at Painted Rock","BANQUET FACILITIES"
"Bethany & Company","BEAUTY SALONS"
"CLIP CHIP HAIR DESIGN","BEAUTY SALONS"
"OXLEY PEST CONTROL, INC   Lic.# PR3853","BEE REMOVAL"
"JENNY’S WINDOW FASHIONS   Lic.# 919196","BLINDS"
"JAMES DUKE, BOOKEEPER","BOOKKEEPING"
"J. Sliders","BOOKKEEPING"
"H&R BLOCK","BOOKKEEPING"
"LAKE ISABELLA PRECISION TAX","BOOKKEEPING"
"WALTER MORTENSEN INSURANCE/INSURICA","BONDS"
"GIANT SEQUOIA MERCANTILE - CLM","BOOKS & GIFTS"
"TUCKER’S BRAKE & ALIGNMENT SERVICE","BRAKE SERVICE & REPAIR"
"KERN RIVER AUTOMOTIVE","BRAKE SERVICE & REPAIR"
"SMOG SHOP, THE","BRAKE SERVICE & REPAIR"
"SOUTH FORK TRANSMISSION","BRAKE SERVICE & REPAIR"
"Kern River Radio","Broadcasting"
"L&M LUMBER INC","BUILDING SUPPLIES"
"Kern Regional Transit","BUS LINES"
"RAY’S PAINTING & DECORATING..........","Cabinet Refinishing"
"GIANT SEQUOIA MERCANTILE - CLM","CAMPING SUPPLIES & EQUIP"
"KEN LACKEY’S CARPET CLEANING","CARPET CLEANING & Repair"
"Robert’s Carpet Repair Cleaning","CARPET CLEANING & Repair"
"KYT AND FAMILY SERVICES   Lic.# 610710","CARPET CLEANING & Repair"
"ISABELLA FLOORING   Lic.# 793968","CARPETS & RUGS - Installation & Sales"
"WIMMER’S FLOOR COVERING","CARPETS & RUGS - Installation & Sales"
"KEN LACKEY’S CARPET CLEANING","CARPET REPAIR"
"ISABELLA FLOORING   Lic.# 793968","CARPET REPAIR"
"CHEF SARAPE RESTAURANT","CATERING"
"Six Shooters Barbeque","CATERING"
"ALL VALLEY SATELLITES","CELL phone sales & service"
"Kern River Valley Cemetery District   Wfrd Hts","CEMETERIES & MEMORIAL PARKS"
"Kern River Valley Chamber of Commerce   Lk Isbl","CEMETERIES & MEMORIAL PARKS"
"Kern River Valley Chamber of Commerce   Lk Isbl","CEMETERIES & MEMORIAL PARKS"
"Assembly of God - Kern Valley   25 Arden Av, Wfrd Hts","CHURCHES (Alphabetical)"
"Calvary Chapel Kern River Valley   125 Sycamore Dr, Wfrd Hts","CHURCHES (Alphabetical)"
"Christian Assembly   12424 Mt Mesa Rd, Mt Mesa","CHURCHES (Alphabetical)"
"Christian Science Society   125 Sycamore Dr, Wfrd Hts","CHURCHES (Alphabetical)"
"Church of Christ Mt Mesa   6400 Dogwood Av, Mt Mesa","CHURCHES (Alphabetical)"
"Church of Jesus Christ of Latter Day Saints","CHURCHES (Alphabetical)"
"First Baptist Church Of Lake Isabella   3701 Suhre St, Lk Isbl","Church of the Nazarene"
"First Missionary Baptist Church   2741 Mt View Rd, Lk Isbl","Church of the Nazarene"
"First Southern Baptist Church   46 Valley View Dr, Krnvl","Church of the Nazarene"
"Foursquare Gospel Church","Church of the Nazarene"
"Grace Chapel Community Church","Church of the Nazarene"
"Jericho Junction Ministries   Kernville Rd, Krnvl","Jehovah’s Witnesses"
"Kern River Valley Christian Church   14900 Hwy 178, Lk Isbl","Jehovah’s Witnesses"
"Kern Valley Bible Church   3920 Golden Spur St, Lk Isbl","Jehovah’s Witnesses"
"Kernville United Methodist Church   251 Big Blue Rd, Krnvl","Jehovah’s Witnesses"
"Mt View Southern Baptist Church","Lifesavers Ministries   6105 Lake Isabella Blvd, Lk Isbl"
"Salvation Army   Lk Isbl","Lifesavers Ministries   6105 Lake Isabella Blvd, Lk Isbl"
"Seventh Day Adventist   3801 Golden Spur, Lk Isbl","Lifesavers Ministries   6105 Lake Isabella Blvd, Lk Isbl"
"Shepherd of the Hills Lutheran Church (LCMS)","Lifesavers Ministries   6105 Lake Isabella Blvd, Lk Isbl"
"St. Peters Episcopal Church 11900 Sierra Wy, Krnvl","St. Judes Catholic Church"
"Weldon United Methodist Church   20021 Hwy 178, Wldn","Weldon Southern Baptist Church   20647 Highway 178, Wldn"
"SIENNA WELLNESS INSTITUTE","CLINICS"
"CLINICA SIERRA VISTA","CLINICS"
"KERN VALLEY HOSPITAL","CLINICS"
"SON-RISE ESPRESSO","COFFEE HOUSE"
"CERRO COSO COMMUNITY COLLEGE","Colleges"
"Hyatt Consulting Group","Consulting"
"THOMAS REFUSE SERVICE INC","CONSTRUCTION SERVICES"
"JOST?PAINTING   Lic.# 801648","CONTRACTORS drywall & plastering"
"TLC, THE LIGHTHART CORPORATION","CONTRACTORS ELECTRICAL"
