"Pacific Aire","PACIFIC-AIRE - A/C & Heating   Lic.# 422818"
"Robert Cone Plumbing","ROBERT?CONE PLUMBING   Lic.# 849062"
"sales & services",""
"Robert’s Carpet Cleaning","Robert’s Carpet Repair Cleaning"
"He Cares Fellowship",""
"THE FURNITURE STORE","FURNITURE STORE, THE"
"ROBERT CONE PLUMBING   Lic.# 849062","ROBERT?CONE PLUMBING   Lic.# 849062"
"barnes Bargains","BARNES’ BARGAINS"
"Robert Carpet Cleaning & Repair","Robert’s Carpet Repair Cleaning"
"HARRY P. THAL INSURANCE AGENCY","HARRY P. THAL INSURANCE   Lic.# 0621106"
"Mike Szepfalvi & Sons","MIKE SZEPFALVI AND SON PAINTING"
"Lange, Detlev, DVM","Lange, Detlev DVM   Southlake"
"Dr. Elsa Nevius","NEVIUS, ELISA J, DR   Lic.# PSY19096"
"LAMBERT ‘S PLUMBING SERVICE   Lic.# 508909","LAMBERT’S PLUMBING SERVICE   Lic.# 508909"
"Calvery Chapel Kern River Valley","Calvary Chapel Kern River Valley   125 Sycamore Dr, Wfrd Hts"
"PORCARO, JOSEPH, DDS","PORCARO, JOSEPH DDS"
"THE BURLINGTON ASSISTED LIVING","BURLINGTON, THE   Lic.# 155801223"
"FAITH MORRISON CMT","FAITH MORRISON, CMT"
"CENTURY 21 - LAKE ISABELLA REALTY INC","CENTURY 21 LAKE ISABELLA REALTY, INC."
"DR. ROBERT GROSS, D.O.","Gross, Robert D O   6425 Lynch Canyon Dr, Mt Mesa"
"CLEANING & REPAIRING",""
"Tim's Autoglass","TIM’S AUTO GLASS MOBILE SERVICE"
"Wimmer's Floor Covering","WIMMER’S FLOOR COVERING"
"CLM GIANT SEQUOIA MERCANTILE","GIANT SEQUOIA MERCANTILE - CLM"
"Kernville Flower Shoppe",""
"GOLDEN?EMPIRE?TOWING","GOLDEN EMPIRE TOWING"
"Kyte & Family Services","KYT AND FAMILY SERVICES   Lic.# 610710"
"System's Plus","SYSTEMS PLUS CONSTRUCTION   Lic.# 296922"
"KELLEE SCOTT INSURANCE AGENCY   Lic.# 0833364","KELLEE SCOTT - FARMERS INSURANCE"
"The Furniture Store","FURNITURE STORE, THE"
"JOST PAINTING   Lic.# 801648","JOST?PAINTING   Lic.# 801648"
"J.Slider Business Service","J. Sliders"
"DR. ELISA J. NEVIUS - CLINICAL PSYCHOLOGIST","NEVIUS, ELISA J, DR   Lic.# PSY19096"
"Isabella market","ISABELLA SUPERMARKET"
"The Feed Barn Grooming","FEED BARN, THE"
"CHAMBERS OF COMMERCE","Kern River Valley Chamber of Commerce   Lk Isbl"
"KVHD","KERN VALLEY HOSPITAL"
"KRV Rotary Club","Kern River Valley Rotary"
"THOMAS REFUSE SERVICE, INC.","THOMAS REFUSE SERVICE INC"
"Lambert's Plumbing","LAMBERT’S PLUMBING SERVICE   Lic.# 508909"
"Payroll Services",""
"St. Peter’s Episcopal Church","St. Peters Episcopal Church 11900 Sierra Wy, Krnvl"
"Able Property management","ABLE PROPERTY?MANAGEMENT  Lic.#00982861"
"HEARTS Connections",""
"EMERGENCY VET",""
"Kern Villiage","KERN VILLAGE   Lic.# 157200475"
"KERNVILLE?ANIMAL?HOSPITAL","KERNVILLE ANIMAL HOSPITAL"
"Isabella Market","ISABELLA SUPERMARKET"
"College Health Clinic Lk Isbl Branch",""
"Victory Tabernacle",""
"The Smog Shop","SMOG SHOP, THE"
"Harry Thal","HARRY P. THAL INSURANCE   Lic.# 0621106"
"WELDON STATE PRESCHOOL",""
"Barnes Bargains","BARNES’ BARGAINS"
"Darlene's Pet Salon","DARLENE’S PET SALON, ETC."
"JANET LUBIN / SHARON ROONEY","ROONEY, SHARON - FARMERS INSURANCE"
"Stewarts Tire","STEWART’S TIRES"
"Trancend Automotive","TRANSCEND AUTOMOTIVE"
"Ray's Painting","RAY’S PAINTING & DECORATING.........."
"parts, repairs, & service",""
"Red's Marnia","Red’s Kern Valley Marina"
"Cowboy Bail Bonds",""
"ABLE PROPERTY MANAGEMENT   Lic.# 00982861","ABLE PROPERTY?MANAGEMENT  Lic.#00982861"
"Lake Isabella Florist",""
"Son Rise","SON-RISE ESPRESSO"
"The Flower Shop",""
"TLC - THE LIGHTHART CORPORATION","TLC, THE LIGHTHART CORPORATION"
"MIKE SZEPFALVI & SON   Lic.# 776496","MIKE SZEPFALVI AND SON PAINTING"
"Lake Isabella Church of Christ",""
"Coach's Driving School","COACH’S DRIVING SCHOOL  Lic.# E3058"
"Gene parks","Farmers Insurance"
"SHARON ROONEY / JANET LUBIN","Farmers Insurance"
"Grace Chapel Church","Grace Chapel Community Church"
"Jenny Window Fashions","JENNY’S WINDOW FASHIONS   Lic.# 919196"
"KERN VALLEY HOME IMPROVEMENT   Lic.# 723815","KERN VALLEY HOME IMPROVEMENTS"
"Reichenbach's","REICHENBACH’S AUTO BODY & PAINT"
"Arshie's Hardware","ARCHIE’S HARDWARE"
"RAY’S PAINTING   Lic.# 705814","RAY’S PAINTING & DECORATING.........."
"Kern Asphalt Paving & Sealing","Kern Valley Asphalt Service"
"Isabella Storage","Lake Mini Storage   5101 Lake Isabella Blvd, Lk Isbl"
"DR. HOLLY SPOHN-GROSS, PODIATRIC SURGERY",""
"Ken Lacky's carpet Cleaning","KEN LACKEY’S CARPET CLEANING"
"Tuckers","TUCKER’S BRAKE & ALIGNMENT SERVICE"
"Jerry Siersma","JERRY SIETSMA ROOFING   Lic.# 756453"
"Petal Pusher Plus","PETAL PUSHER+"
"KERN?RIVER?FEED?& HAY","KERN RIVER FEED & HAY"
"Bryan's Pumping Service","BRYAN’S PUMPING"
"O V C D C-Tribal Tanf","OVCDC/Tribal Tanif   2600 Hwy 155, Lk Isbl"
"Dam Dentist",""
"Sharon Rooney","Farmers Insurance"
"Freeman's Realty","FREEMAN’S LAKESIDE REALTY"
"RURAL HEALTH CLINIC","Rural Health Clinic"
"RURAL HEALTH CLINIC","Rural Health Clinic   4300 Birch, Mt Mesa"
"Christian Assembly","Christian Assembly   12424 Mt Mesa Rd, Mt Mesa"
"Barnes","BARNES’ BARGAINS"
"Barnes","BARNES’ BARGAINS FURNITURE"
"Barnes","BARNES’ BARGAINS APPLIANCES"
"Barnes","BARNES’ BARGAINS SOLAR"
"Barnes","BARNES’ BARGAINS GROCERIES"
"Barnes","Barnes, Alan   Bdfsh"
"Barnes","Barnes, Alan & Kenda   5024 Lake Isabella Bl, Lk Isbl"
"Barnes","Barnes, Darrell   5 Fussel St, Bdfsh"
"Barnes","Barnes, J   Krnvl"
"Barnes","Barnes, J   Wfrd Hts"
"Barnes","Barnes, K   122 Columbus Av, Bdfsh."
"Barnes","Barnes, M   2716 Steensen St, Lk Isbl"
"Barnes","Barnes, NJ   7231 Cannela Wy, Krnvl"
"COACH’S DRIVING SCHOOL   Lic.# E3058","COACH’S DRIVING SCHOOL  Lic.# E3058"
"First Baptist Church of Lake Isabella","First Baptist Church Of Lake Isabella   3701 Suhre St, Lk Isbl"
"Appliance Center","APPLIANCE CENTER, THE"
"Ewings","Ewings, Restaurant On The Kern"
"Thomas refuse","THOMAS REFUSE SERVICE INC"
"Thomas refuse","THOMAS REFUSE SERVICE GARBAGE"
"Thomas refuse","THOMAS REFUSE SERVICE RECYCLING"
"Thomas refuse","THOMAS REFUSE SERVICE SEPTIC"
"Thomas refuse","THOMAS REFUSE SERVICE PORTABLE"
"Comprehensive Cardiovascular","Comprehensive Cardiovascular - Medical Group"
"Comprehensive Cardiovascular","COMPREHENSIVE CARDIOVASCULAR"
"Southern Sierra Properties","SOUTHERN SIERRA PROPERTIES"
"Erskine Creek Water Co","Erskine Creek Water Co   2095 Edith Av, Lk Isbl"
"Pacific Orthopedic Medical Group","PACIFIC ORTHOPEDIC MEDICAL GROUP"
"Tubatulabals of Kern Valley","Tubatulabals of Kern Valley Tribal Office"
"Isabella Flooring","ISABELLA FLOORING   Lic.# 793968"
"KERNVILLE GARAGE","Kernville Garage   9890 Sierra Wy, Krnvl"
"Six Shooters","Six Shooters Barbeque"
"RJ Smith Construction","RJ SMITH CONSTRUCTION   Lic.# 333664"
"H&R Block","H&R BLOCK"
"First Missionary Baptist Church","First Missionary Baptist Church   2741 Mt View Rd, Lk Isbl"
"Gro-tech","GRO-TECH LANDSCAPING  Lic.# 775052"
"South Fork Transmission","SOUTH FORK TRANSMISSION"
"Thomas Borsari","J Thomas Borsari, Attorney At Law"
"B&D Towing","B&D TOWING"
"ONSTOTT CONSTRUCTION   Lic.# 638567","ONSTOTT CONSTRUCTION   Lic.#638567"
"Masonic Lodge No 827","Masonic Lodge No 827   Krnvl"
"KERN VALLEY GLASS & SCREEN   Lic.# 723815","Kern Valley Glass & Screen   Lic.# 723815   Lk Isbl"
"KERN HIGH SCHOOL DISTRICT","Kern High School DistricT"
"Cerro Coso","CERRO COSO COMMUNITY COLLEGE"
"Sienna Wellness","SIENNA WELLNESS INSTITUTE"
"Chef Sarape","CHEF SARAPE RESTAURANT"
"Delta Liquid Energy","DELTA LIQUID ENERGY"
"BRYAN’S PUMPING SERVICE","BRYAN’S PUMPING"
"VALLEY OAKS CHARTER SCHOOL","Valley Oaks Charter School   3630 Golden Spur St, Lk Isbl"
"VFW Post No 7665","VFW Post No 7665   2811 Nuggett Av, Lk Isbl"
"Alcoholics Anonymous","Alcoholics Anonymous   Bdfsh"
"IPM","Foster, Phillip   Mt Mesa"
"IPM","Turner, Jerry   2931 Chipmunk Pl, Mt Mesa"
"Hyatt Consulting","Hyatt Consulting Group"
"Diana Wade","DIANA WADE"
"Kern River Feed & Hay","KERN RIVER FEED & HAY"
"Pat Turnham","PAT TURNHAM REALTY   DRE.# 01911769"
"BETTY B’S JUSTIN TYME - VACATION RENTALS","BETTY B’S JUSTIN TYME"
"Town & Country Roofing","TOWN & COUNTRY ROOFING   Lic.# 899952"
"Kern River Automotive","KERN RIVER AUTOMOTIVE"
"Nuui Cunni","NUUI CUNNI - Native American Cultural Center"
"LAKE ISABELLA ANIMAL SHELTER","Lake Isabella Animal Shelter   14891 Hwy 178, Wldn"
"High Sierra Crane","HIGH SIERRA CRANE"
"KERN VALLEY AIRPORT","Kern Valley Airport   10649 Sierra Wy, Krnvl"
"GENERAL PLUMBING   Lic.# 896692","GENERAL PLUMBING  Lic.# 896692"
"Optimal Hospice Care","OPTIMAL HOSPICE CARE"
"Weldon United Methodist Church","Weldon United Methodist Church   20021 Hwy 178, Wldn"
"Drugstore","DRUGSTORE, THE"
"Salvation Army","Salvation Army   Lk Isbl"
"Kern River radio","Kern River Radio"
"Carquest/Western Auto","Carquest/ Western Auto Parts"
"Mountain Masonry","MOUNTAIN MASONRY  Lic.# 862216"
"GRO-TECH LANDSCAPING   Lic.# 775052","GRO-TECH LANDSCAPING  Lic.# 775052"
"Onstott Construction","ONSTOTT CONSTRUCTION   Lic.#638567"
"Seventh Day Adventist","Seventh Day Adventist   3801 Golden Spur, Lk Isbl"
"Thomas Refuse","THOMAS REFUSE SERVICE INC"
"Thomas Refuse","THOMAS REFUSE SERVICE GARBAGE"
"Thomas Refuse","THOMAS REFUSE SERVICE RECYCLING"
"Thomas Refuse","THOMAS REFUSE SERVICE SEPTIC"
"Thomas Refuse","THOMAS REFUSE SERVICE PORTABLE"
"Kern River Valley Cemetery District","Kern River Valley Cemetery District   Wfrd Hts"
"College Community Services","College Community Services   2731 Nugget Av, Lk Isbl"
"Kernville United Methodist Church","Kernville United Methodist Church   251 Big Blue Rd, Krnvl"
"ALL ABOUT TRAVEL","All About Travel   1037 Burlando Rd, Krnvl"
"Kern Valley Veterinary Clinic","Kern Valley Veterinary Clinic   Southlake"
"Oxley","OXLEY PEST CONTROL, INC   Lic.# PR3853"
"Brezzy’s Mobile Notary	379-7506","Brezzy’s Mobile Notary"
"J.Slider","J. Sliders"
"KERN RIVER AUTOMOTIVE   Bar.# ARD00268783","KERN RIVER AUTOMOTIVE"
"Kern Valley Plumbing","KERN VALLEY PLUMBING   Lic.# 300448"
"LifeSavers Ministries","Lifesavers Ministries   6105 Lake Isabella Blvd, Lk Isbl"
"Valley Fitness","VALLEY FITNESS"
"Moose Lodge No 498","Moose Lodge No 498   6732 Lake Isabella Blvd, Lk Isbl"
"South Fork Mosquito Abatement District","South Fork Mosquito Abatement District   Krnvl"
"Amerigas","AMERIGAS"
"LODGE AT PAINTED ROCK","Lodge at Painted Rock"
"Kern River Valley Christian Church","Kern River Valley Christian Church   14900 Hwy 178, Lk Isbl"
"Kern Valley Glass","Kern Valley Glass & Screen   Lic.# 723815   Lk Isbl"
"General Plumbing","GENERAL PLUMBING  Lic.# 896692"
"C&R","C&R PEST CONTROL, INC   Lic.# FR23723"
"C&R","Onstott, Eric & Robin   1500 Bernie Dr, Bdfsh"
"C&R","Stone, Verna?C & Robert Guy   3805 Indian Rock Rd, Lk Isbl"
"KERN VALLEY EXCHANGE CLUB","Kern Valley Exchange Club	 ext 15"
"Kern Valley Bible Church","Kern Valley Bible Church   3920 Golden Spur St, Lk Isbl"
"Assembly of God - Kern Valley","Assembly of God - Kern Valley   25 Arden Av, Wfrd Hts"
"SOUTH FORK UNION SCHOOL DISTRICT","South Fork Union School District"
"Christian Science Society","Christian Science Society   125 Sycamore Dr, Wfrd Hts"
"Century 21","CENTURY 21 LAKE ISABELLA REALTY, INC."
"JERRY SIETSMA ROOFING   Lic. #756453","JERRY SIETSMA ROOFING   Lic.# 756453"
"MY SEWING ROOM","My Sewing Room   12232 Mt Mesa Rd, Mt Mesa"
"KERN VALLEY HOSPITAL PATIENTS ACCOUNTS","KERN VALLEY HOSPITAL"
